customer_id,name,phone,email,grade,lead_source,interest_type,signup_date,region,budget_10k_krw,status
C00029,전주원,010-3417-1090,전주원@example.com, 일반,SNS,59B,2024-12-17,울산,42000,휴면
C00493,이태윤,010-5489-2994,이태윤@example.com,신규,온라인전시관,84B,20241208,경북,85000,활성
C00329,서하은,010-6126-7457,user329@example.com,신규,광고,84A,2025-01-08,전북,35000,이탈
C00353,송유진,010-8972-2873,user353@example.com,일반,Blog,59A,2025-03-10,인천,999999,활성
C00302,오하은,010-6544-1983,user302@example.com,일반,지인소개,102A,2026-02-05,충북,-1,활성
C00042,서유진,010-9698-6632,user42@example.com,Vip,Blog,74A,2025-12-15,세종,63000,활성
C00413,김시윤,01087777004,user413@example.com,신규,광고,59B,2025/07/14,전남,42000,활성
C00036,김우진,010.4571.8619,user36@example.com, 일반,온라인전시관,59B,2026-10-24,대전,71000,활성
C00595,임지호,01028419057,임지호@example.com,VIP,방문,59A,2025-06-03,부산,42000,활성
C00545,김우진,010-5072-7036,user545@example.com,관심고객,블로그 ,84B,11-07-2025,충북,35000,활성
C00058,장지우,010-6383-9742,user58@example.com,일반,블로그 ,114A,01-20-2026,강원,63000,활성
C00239,최도윤,010.5783.9973,최도윤@example.com,Vip,광고,59A,2024-08-05,전남,42000,활성
C00223,안도윤,01018853470,안도윤@example.com,일반,온라인전시관,84A,2026-08-05,대전,42000,휴면
C00244,송준서,010-9747-5684,user244@example.com, 일반,블로그,84B,01-13-2024,경기,71000,활성
C00406,강서연,010.6832.1798,user406@example.com,일반,Blog,102A,2024-09-07,대전,42000,이탈
C00578,신우진,010-8961-2353,신우진@example.com,일반,광고(네이버),59B,2026/09/06,세종,63000,휴면
C00567,황도윤,010-5440-2623,user567@example.com,VIP,온라인전시관,114A,2025-03-12,전북,120000,이탈
C00077,서예준,,user77@example.com,Vip,Blog,59B,2025-07-15,충남,71000,활성
C00500,안가은,01042014282,안가은@example.com, 일반,광고,74A,2024-11-16,경북,999999,활성
C00262,안다은,,user262@example.com,일반,광고(네이버),102A,2024-09-05,대전,999999,이탈
C00183,안수아,010-3577-5179,user183@example.com,VVIP,광고(네이버),102A,2026-02-08,서울,63000,활성
C00312,안건우,01085426827,user312@example.com,VIP,전화문의,74A,2026-04-08,강원,42000,이탈
C00021,최예준,01015907049,최예준@example.com,일반,지인소개,59A,2025-06-26,경기,63000,활성
C00478,황가은,010-9270-8551,황가은@example.com,vip,블로그 ,59B,2026-06-03,전남,95000,활성
C00081,한소율 ,010.6154.2527,user81@example.com,VIP,온라인전시관,59B,2026-08-27,충남,42000,휴면
C00301,이태윤,010-8113-6316,user301@example.com,VIP,전화문의,84B,2024/07/26,경남,999999,활성
C00495,한가은,010.6583.1891,user495@example.com,신규,방문,59A,2026-10-15,경북,999999,활성
C00078,전우진,010.1815.2336,,신규,SNS,84A,2026-08-14,제주,42000,활성
C00346,임승우,010-6460-8649,user346@example.com,VIP,Blog,114A,20261210,광주,85000,활성
C00025,신우진,010-4114-5173,신우진@example.com,Vip,SNS,59A,2026-09-22,광주,85000,휴면
C00121,황수아,010-5715-2996,user121@example.com,VVIP,SNS,114A,03-10-2025,인천,85000,휴면
C00018,정승우,010-5669-3584,user18@example.com,일반 ,Blog,102A,2025-10-26,서울,-1,활성
C00258,한수아,010.2143.4170,user258@example.com,신규,블로그 ,74A,2026-11-10,대구,999999,이탈
C00087,최건우,010-3463-6461,user87@example.com,관심고객,지인소개,74A,2025-11-23,대구,999999,활성
C00583,윤채원,010-2742-3137,user583@example.com,VIP,광고(네이버),102A,2024-04-23,Busan,999999,활성
C00242,신우진,010-6617-5819,신우진@example.com, 일반,지인소개,59B,2025-10-23,제주,71000,이탈
C00137,임현우,01046925927,user137@example.com, 일반,블로그 ,59A,2026-07-14,대구,95000,활성
C00010,박하은,010-3705-5342,user10@example.com,일반,Blog,114A,2026-12-07,전북,85000,휴면
C00104,강준서,01052648311,user104@example.com,관심고객,전화문의,102A,2025/04/04,경북,58000,휴면
C00543,김서연,01016852586,user543@example.com,신규,블로그,84A,2026-09-25,경남,120000,활성
C00528,이예준,01091852668,이예준@example.com,일반,광고,84B,2025-11-23,대구,85000,활성
C00517,이수아,01077317407,user517@example.com,VIP,지인소개,84B,2025/08/24,대구,63000,활성
C00002,윤은서,,user2@example.com, 일반,지인소개,102A,20250609,부산,85000,활성
C00227,오하은,01076091313,user227@example.com,일반,지인소개,59B,2026-01-19,부산,35000,휴면
C00587,안은서,010.4609.5855,user587@example.com,신규,광고,59B,2024/01/18,대구,71000,활성
C00005,강은서,010-4598-6313,user5@example.com,일반,블로그,114A,07-09-2025,충북,63000,휴면
C00394,신선우,010.8272.1351,user394@example.com,일반,광고,59A,2024-09-21,충북,85000,휴면
C00362,이채원,010.5780.1447,user362@example.com,신규,광고,59B,2026-02-28,세종,58000,이탈
C00148,전시우,01022605903,전시우@example.com,관심고객,방문,84B,2025-11-18,대구,42000,이탈
C00369,장서준,010.5528.7995,user369@example.com,일반,지인소개,114A,20240525,충북,35000,활성
C00206,오민준,010-8869-4271,user206@example.com,VIP,방문,59B,2026-05-03,부산시,120000,휴면
C00573,조민준,010-5994-9446,조민준@example.com,VVIP,블로그 ,84B,20250112,충북,71000,활성
C00596,홍시우,010.7967.3461,user596@example.com,관심고객,전화문의,74A,2024-05-16,세종,42000,활성
C00154,서동현,010.3230.5922,서동현@example.com,관심고객,방문,84A,2025-03-13,강원,120000,이탈
C00044,임지호,010-3073-5494,user44@example.com,VIP,Blog,74A,2026-03-21,경남,42000,활성
C00116,서다은,010-8761-9508,,VIP,광고(네이버),84B,2024-06-20,전북,999999,활성
C00445,정건우,01018714095,정건우@example.com,VIP,방문,59B,20240809,전남,42000,휴면
C00031,안준서,010.5681.4841,user31@example.com,일반,온라인전시관,84B,03-05-2024,대구,63000,활성
C00191,임윤서,010-8408-5093,임윤서@example.com,신규,광고,114A,2024/02/01,대구,63000,휴면
C00414,최은서,010-5723-1665,user414@example.com,일반,블로그 ,59A,2025-05-15,강원,120000,활성
C00554,서지우,010-7412-7407,user554@example.com,신규,전화문의,74A,2026-04-23,전북,42000,활성
C00544,홍지민,010.6164.4925,user544@example.com,vip,SNS,84A,2026-01-12,Busan,95000,활성
C00127,한승우,010.5374.6400,user127@example.com,관심고객,광고(네이버),59A,2025-11-12,경기,120000,활성
C00388,송하은,010.3174.6872,user388@example.com,일반,광고,59A,20251110,서울,120000,활성
C00347,조서준,01029275467,user347@example.com,VIP,전화문의,59A,2024-10-18,광주,-1,활성
C00489,박동현,010.8293.3022,박동현@example.com,일반 ,SNS,114A,06-13-2026,Seoul,63000,휴면
C00188,최다은,01020208126,user188@example.com,일반,전화문의,74A,2025-07-23,충북,85000,휴면
C00427,서윤서 ,010-7260-8814,user427@example.com,관심고객,블로그 ,59B,2026-12-15,전남,999999,활성
C00299,서예준,010-5097-7251,user299@example.com,VIP,방문,84A,2025-04-24,광주,120000,활성
C00175,최도윤,010-3181-3340,user175@example.com,신규,광고(네이버),59A,2026-11-06,광주,58000,휴면
C00336,이도윤,010.3906.8460,user336@example.com,VVIP,블로그,59A,2025-06-12,인천,95000,이탈
C00243,한유진,010.4435.5760,한유진@example.com,VVIP,지인소개,102A,2026-03-17,충북,42000,활성
C00147,조나윤,010.1762.2218,조나윤@example.com,VVIP,Blog,84B,2026-01-06,충북,35000,활성
C00020,장나윤,010-5533-1722,,일반,지인소개,102A,2025-03-24,전남,-1,활성
C00524,송시윤,010-5476-3514,user524@example.com,일반,지인소개,59B,2026-01-22,경북,35000,이탈
C00156,정채원,010-7932-7176,user156@example.com,신규,광고(네이버),84A,2026-07-18,전남,-1,활성
C00508,황준서,01015994394,user508@example.com,VVIP,방문,84A,2024-07-07,전북,999999,활성
C00072,최준서,010-6277-3430,최준서@example.com,VIP,전화문의,84B,2026-10-18,전북,999999,이탈
C00592,권승우,010-3249-1193,user592@example.com,일반,SNS,59A,2024-01-25,경기,71000,활성
C00368,장주원,010-4552-2995,user368@example.com,VIP,광고(네이버),59B,2025-11-25,대전,42000,활성
C00516,최선우 ,01090051439,,일반,광고,84A,2025-04-08,제주,42000,휴면
C00352,송은서,010-9977-3605,user352@example.com,일반,광고,74A,2024-12-19,전남,999999,활성
C00214,조승우,01071261920,조승우@example.com,VIP,전화문의,102A,2026-07-05,제주,999999,활성
C00343,정윤서,010-9753-3719,정윤서@example.com,VIP,광고(네이버),59A,2025-12-28,경기,120000,활성
C00354,홍하은,01020072483,홍하은@example.com,일반 ,지인소개,84B,2026/01/25,경북,-1,활성
C00392,안다은,010-9730-5788,안다은@example.com,관심고객,온라인전시관,114A,2026-12-26,인천,63000,휴면
C00452,정승우,010-5762-8671,user452@example.com,VIP,블로그 ,74A,2024-03-22,울산,-1,휴면
C00307,홍유진,01021611214,,vip,블로그 ,114A,2024-08-26,충남,-1,휴면
C00060,신소율,010-7267-4945,user60@example.com,VVIP,광고(네이버),59B,2024-08-21,세종,35000,휴면
C00235,김유진,010-4669-6542,김유진@example.com,일반,방문,84A,2025-11-22,대구,-1,이탈
C00581,오유진,010-1669-1008,user581@example.com,vip,온라인전시관,59B,2025-08-09,부산,71000,휴면
C00477,임주원,,user477@example.com,신규,온라인전시관,59A,2024-07-16,경북,85000,휴면
C00120,한건우,01053318932,user120@example.com,일반,전화문의,84B,2025-04-10,광주,120000,활성
C00355,서우진,010.6187.5910,user355@example.com,VVIP,SNS,102A,02-19-2025,전북,58000,활성
C00271,전동현,01026007971,전동현@example.com,일반,블로그 ,114A,2024-02-10,전남,71000,활성
C00556,김수아,010-3418-7169,김수아@example.com,vip,지인소개,59A,2024/06/16,부산,85000,이탈
C00261,안채원,010.4485.1600,user261@example.com,신규,Blog,84A,2026-03-12,강원,58000,휴면
C00177,홍시윤,01059424366,user177@example.com,Vip,SNS,74A,2026-01-26,울산,120000,휴면
C00313,서소율,010-8905-3832,서소율@example.com,일반 ,광고(네이버),114A,2024-10-21,전북,42000,활성
C00314,한수아,010-2974-4714,한수아@example.com,vip,SNS,59A,2025-09-02,대구,85000,이탈
C00032,신지민,010-7883-7381,user32@example.com,일반 ,광고(네이버),84A,2025-01-12,전북,95000,이탈
C00081,한소율,010-5743-2887,user81@example.com,VIP,온라인전시관,59B,2026-08-27,충남,42000,휴면
C00471,송소율,010-7926-9278,user471@example.com,Vip,블로그,114A,2025-05-21,Busan,42000,휴면
C00340,한수아,,user340@example.com,일반,전화문의,74A,2024-05-10,충북,35000,활성
C00226,임시우,010.2069.1749,user226@example.com,일반,블로그 ,102A,2026-10-17,대구,85000,휴면
C00475,정준서,01096692934,정준서@example.com,신규,블로그 ,59A,2026-03-18,부산,95000,활성
C00594,이건우,010.1729.2684,user594@example.com,VIP,Blog,114A,2025-03-01,seoul,58000,활성
C00489,박동현,010.8293.3022,박동현@example.com,일반 ,SNS,114A,06-13-2026,Seoul,63000,휴면
C00019,최나윤,010.3546.5462,user19@example.com,관심고객,방문,102A,2025-04-22,세종,-1,휴면
C00547,정태윤,01092671520,user547@example.com,신규,광고,74A,2026-09-28,경북,42000,휴면
C00513,권시윤,010-4077-8025,권시윤@example.com,일반,블로그 ,84A,2026/01/12,강원,35000,휴면
C00288,송건우,,송건우@example.com,VIP,온라인전시관,114A,2026-10-07,대전,71000,활성
C00484,윤승우,01026635035,윤승우@example.com,일반,광고(네이버),84A,2025-02-28,광주,58000,활성
C00110,신우진,010-5745-5949,user110@example.com,일반,SNS,74A,20250223,전남,120000,휴면
C00499,안채원,010-3385-3415,안채원@example.com,일반,광고(네이버),74A,2025-06-01,대구,35000,활성
C00208,오동현,010-1999-7342,user208@example.com,신규,블로그 ,84B,08-10-2024,경기,-1,이탈
C00047,조윤서,010-2229-3564,user47@example.com,일반,블로그 ,102A,20260810,강원,120000,활성
C00030,정동현,010-6198-8251,user30@example.com,일반 ,Blog,84A,2024-12-28,세종,63000,활성
C00460,황우진,010.1340.3643,황우진@example.com,Vip,방문,84A,2025-08-08,충북,999999,휴면
C00276,강채원,01094895685,,VIP,광고(네이버),84B,2026-12-08,경기,35000,활성
C00091,전은서,01096417859,user91@example.com,일반 ,방문,114A,2026-03-28,경남,85000,이탈
C00473,한다은,010-2605-3401,user473@example.com,일반 ,SNS,59A,2024-01-14,경남,63000,휴면
C00406,강서연,010.6832.1798,user406@example.com,일반,Blog,102A,2024-09-07,대전,42000,이탈
C00225,신채원,01010761618,user225@example.com,Vip,온라인전시관,59A,2025/09/07,울산,63000,활성
C00341,한지우,010.3877.4178,user341@example.com,일반 ,온라인전시관,102A,2025/08/26,경남,58000,휴면
C00346,임승우 ,010-2228-3496,user346@example.com,VIP,Blog,114A,20261210,광주,85000,활성
C00076,송수아,010.8030.1430,user76@example.com,VIP,지인소개,74A,2026-05-11,대전,58000,이탈
C00457,황채원,010-9824-4127,user457@example.com,일반,블로그 ,59B,2025/07/01,경북,120000,휴면
C00443,임현우,010.1673.3938,user443@example.com,VIP,Blog,84A,08-05-2025,제주,95000,활성
C00541,신하윤,010-8970-3981,user541@example.com,신규,광고(네이버),114A,2024/03/07,광주,71000,휴면
C00323,장나윤,01055904695,user323@example.com,일반,SNS,102A,2024-02-24,울산,95000,활성
C00246,윤다은,010-1769-7251,윤다은@example.com,일반,온라인전시관,84B,2024-01-24,경북,63000,활성
C00009,정수아,010.9689.1009,정수아@example.com,신규,블로그,59A,05-08-2025,인천,42000,휴면
C00228,장하은,010-2771-1323,,Vip,광고,84A,2025-07-04,경남,58000,활성
C00294,안채원,010-9841-4721,user294@example.com,신규,전화문의,74A,2025-05-05,서울,58000,활성
C00012,황주원 ,010-8744-4981,user12@example.com, 일반,SNS,59B,2024-02-22,전남,95000,휴면
C00422,전서연,010-1440-6591,user422@example.com,VIP,SNS,74A,2025/07/12,울산,63000,활성
C00456,홍시윤,010.6910.7471,user456@example.com,VIP,지인소개,59B,2024-04-04,광주,35000,활성
C00533,박지민,01050127947,박지민@example.com,관심고객,방문,74A,2025-10-15,광주,71000,휴면
C00289,한선우,010.2284.7243,user289@example.com,신규,지인소개,114A,2024-11-26,전남,999999,이탈
C00433,장나윤,010-7025-6049,장나윤@example.com,vip,광고(네이버),59A,2026-11-26,울산,71000,이탈
C00197,강지호,01014626761,user197@example.com,관심고객,방문,114A,2025/09/10,인천,35000,활성
C00599,전유진,01045932429,user599@example.com,일반,블로그,59B,2024-06-18,대구,42000,활성
C00164,신우진,01098043838,user164@example.com,신규,전화문의,59B,2024-06-27,경기,35000,휴면
C00140,송지우,010.6886.6053,송지우@example.com,일반,Blog,84A,2025-02-26,경남,85000,활성
C00013,이선우,01065592790,user13@example.com,일반,방문,84B,20250314,울산,42000,휴면
C00229,김서준,010-3247-7862,user229@example.com,신규,광고(네이버),59A,2025/02/26,광주,71000,이탈
C00555,한하은,01059818496,한하은@example.com,관심고객,지인소개,84A,2026-08-10,광주,63000,활성
C00339,홍지호,,홍지호@example.com,VIP,블로그 ,102A,12-28-2024,전남,95000,활성
C00106,윤도윤,010.9094.1430,윤도윤@example.com,신규,광고(네이버),74A,2025-09-05,인천,42000,활성
C00085,홍다은,01016728368,user85@example.com,일반,광고(네이버),84A,2026-03-02,충북,42000,이탈
C00160,박서준,,user160@example.com,일반,광고,102A,2024-12-08,대전,85000,이탈
C00360,전준서,010.2311.3327,전준서@example.com,신규,Blog,59A,10-03-2026,인천,-1,이탈
C00438,전가은,010-7022-3980,user438@example.com,VVIP,SNS,114A,2026-04-01,울산,42000,휴면
C00144,김건우,010.5501.9777,,VIP,Blog,114A,2026-11-14,대전,42000,활성
C00522,김예준,01066307542,user522@example.com,일반,블로그,59A,2025-02-23,충북,120000,휴면
C00428,안주원,010-5919-8133,user428@example.com,일반,광고,102A,2024-07-09,대전,71000,이탈
